@relation wearable_data

@attribute ﻿Time {0:00:00,0:10:00,0:20:00,0:30:00,0:40:00,0:50:00,1:00:00,1:10:00,1:20:00,1:30:00,1:40:00,1:50:00,2:00:00,2:10:00,2:20:00,2:30:00,2:40:00,2:50:00,3:00:00,3:10:00,3:20:00,3:30:00,3:40:00,3:50:00,4:00:00,4:10:00,4:20:00,4:30:00,4:40:00,4:50:00,5:00:00,5:10:00,5:20:00,5:30:00,5:40:00,5:50:00,6:00:00,6:10:00,6:20:00,6:30:00,6:40:00,6:50:00,7:00:00,7:10:00,7:20:00,7:30:00,7:40:00,7:50:00,8:00:00,8:10:00,8:20:00,8:30:00,8:40:00,8:50:00,9:00:00,9:10:00,9:20:00,9:30:00,9:40:00,9:50:00,10:00:00,10:10:00,10:20:00,10:30:00,10:40:00,10:50:00,11:00:00,11:10:00,11:20:00,11:30:00,11:40:00,11:50:00,12:00:00,12:10:00,12:20:00,12:30:00,12:40:00,12:50:00,13:00:00,13:10:00,13:20:00,13:30:00,13:40:00,13:50:00,14:00:00,14:10:00,14:20:00,14:30:00,14:40:00,14:50:00,15:00:00,15:10:00,15:20:00,15:30:00,15:40:00,15:50:00,16:00:00,16:10:00,16:20:00,16:30:00,16:40:00,16:50:00,17:00:00,17:10:00,17:20:00,17:30:00,17:40:00,17:50:00,18:00:00,18:10:00,18:20:00,18:30:00,18:40:00,18:50:00,19:00:00,19:10:00,19:20:00,19:30:00,19:40:00,19:50:00,20:00:00,20:10:00,20:20:00,20:30:00,20:40:00,20:50:00,21:00:00,21:10:00,21:20:00,21:30:00,21:40:00,21:50:00,22:00:00,22:10:00,22:20:00,22:30:00,22:40:00,22:50:00,23:00:00,23:10:00,23:20:00,23:30:00,23:40:00,23:50:00}
@attribute HeartRate numeric
@attribute SpO2 numeric

@data
0:00:00,96,86
0:10:00,162,92
0:20:00,118,96
0:30:00,91,90
0:40:00,123,88
0:50:00,151,97
1:00:00,179,95
1:10:00,83,90
1:20:00,168,93
1:30:00,130,94
1:40:00,104,85
1:50:00,139,90
2:00:00,150,90
2:10:00,119,97
2:20:00,178,96
2:30:00,143,95
2:40:00,127,91
2:50:00,155,90
3:00:00,117,87
3:10:00,143,96
3:20:00,92,93
3:30:00,92,99
3:40:00,167,88
3:50:00,108,92
4:00:00,94,92
4:10:00,115,91
4:20:00,117,97
4:30:00,103,93
4:40:00,82,94
4:50:00,120,89
5:00:00,161,85
5:10:00,170,85
5:20:00,147,94
5:30:00,152,91
5:40:00,153,88
5:50:00,157,99
6:00:00,125,91
6:10:00,111,88
6:20:00,116,95
6:30:00,84,86
6:40:00,158,96
6:50:00,97,93
7:00:00,148,89
7:10:00,81,88
7:20:00,167,99
7:30:00,142,87
7:40:00,166,86
7:50:00,111,91
8:00:00,164,100
8:10:00,137,86
8:20:00,149,99
8:30:00,103,92
8:40:00,80,99
8:50:00,134,96
9:00:00,172,99
9:10:00,172,94
9:20:00,147,95
9:30:00,103,100
9:40:00,159,94
9:50:00,92,98
10:00:00,118,99
10:10:00,108,90
10:20:00,149,91
10:30:00,180,86
10:40:00,154,91
10:50:00,159,97
11:00:00,115,99
11:10:00,116,96
11:20:00,146,100
11:30:00,150,92
11:40:00,93,100
11:50:00,150,98
12:00:00,88,98
12:10:00,116,93
12:20:00,163,90
12:30:00,103,88
12:40:00,139,100
12:50:00,90,89
13:00:00,166,93
13:10:00,115,93
13:20:00,168,97
13:30:00,163,99
13:40:00,95,85
13:50:00,124,91
14:00:00,136,85
14:10:00,159,91
14:20:00,81,98
14:30:00,166,100
14:40:00,92,96
14:50:00,165,86
15:00:00,131,94
15:10:00,158,99
15:20:00,95,92
15:30:00,104,88
15:40:00,81,88
15:50:00,145,100
16:00:00,147,95
16:10:00,152,96
16:20:00,153,85
16:30:00,150,98
16:40:00,134,86
16:50:00,166,87
17:00:00,107,90
17:10:00,160,96
17:20:00,93,95
17:30:00,164,97
17:40:00,135,91
17:50:00,171,95
18:00:00,175,91
18:10:00,133,86
18:20:00,104,97
18:30:00,108,94
18:40:00,147,88
18:50:00,167,89
19:00:00,153,95
19:10:00,113,86
19:20:00,161,94
19:30:00,158,89
19:40:00,98,86
19:50:00,162,95
20:00:00,179,86
20:10:00,129,99
20:20:00,80,88
20:30:00,115,89
20:40:00,157,97
20:50:00,155,90
21:00:00,148,90
21:10:00,87,92
21:20:00,180,94
21:30:00,175,91
21:40:00,161,99
21:50:00,90,93
22:00:00,134,87
22:10:00,108,97
22:20:00,145,89
22:30:00,142,93
22:40:00,142,100
22:50:00,114,86
23:00:00,105,99
23:10:00,88,96
23:20:00,149,94
23:30:00,104,91
23:40:00,97,96
23:50:00,115,87
0:00:00,138,88
0:10:00,126,90
0:20:00,164,85
0:30:00,153,92
0:40:00,152,87
0:50:00,149,91
1:00:00,127,90
1:10:00,94,87
1:20:00,93,91
1:30:00,121,95
1:40:00,128,93
1:50:00,101,97
2:00:00,83,91
2:10:00,155,95
2:20:00,105,93
2:30:00,156,99
2:40:00,155,88
2:50:00,145,92
3:00:00,95,88
3:10:00,90,95
3:20:00,159,93
3:30:00,94,95
3:40:00,175,85
3:50:00,113,94
4:00:00,142,96
4:10:00,116,96
4:20:00,145,96
4:30:00,127,99
4:40:00,122,99
4:50:00,146,90
5:00:00,106,93
5:10:00,168,93
5:20:00,171,86
5:30:00,108,99
5:40:00,84,85
5:50:00,175,93
6:00:00,124,85
6:10:00,85,86
6:20:00,172,93
6:30:00,95,100
6:40:00,88,91
6:50:00,129,90
7:00:00,139,93
7:10:00,169,99
7:20:00,115,99
7:30:00,87,96
7:40:00,116,86
7:50:00,107,87
8:00:00,131,91
8:10:00,94,91
8:20:00,167,98
8:30:00,168,91
8:40:00,160,90
8:50:00,94,93
9:00:00,134,86
9:10:00,178,86
9:20:00,140,96
9:30:00,109,90
9:40:00,158,98
9:50:00,87,99
10:00:00,147,91
10:10:00,119,86
10:20:00,163,91
10:30:00,164,93
10:40:00,85,86
10:50:00,83,97
11:00:00,146,94
11:10:00,89,94
11:20:00,113,98
11:30:00,127,92
11:40:00,132,86
11:50:00,147,94
12:00:00,111,92
12:10:00,131,87
12:20:00,175,97
12:30:00,158,89
12:40:00,163,85
12:50:00,128,94
13:00:00,153,98
13:10:00,179,87
13:20:00,87,89
13:30:00,121,85
13:40:00,103,88
13:50:00,115,87
14:00:00,128,86
14:10:00,80,99
14:20:00,107,98
14:30:00,178,93
14:40:00,86,89
14:50:00,125,86
15:00:00,134,96
15:10:00,158,88
15:20:00,82,86
15:30:00,88,95
15:40:00,105,88
15:50:00,142,99
16:00:00,174,90
16:10:00,111,94
16:20:00,175,94
16:30:00,158,87
16:40:00,87,91
16:50:00,109,91
17:00:00,156,93
17:10:00,102,87
17:20:00,170,98
17:30:00,86,97
17:40:00,85,93
17:50:00,87,87
18:00:00,83,90
18:10:00,113,98
18:20:00,122,94
18:30:00,131,89
18:40:00,154,98
18:50:00,105,92
19:00:00,155,100
19:10:00,179,98
19:20:00,85,88
19:30:00,117,94
19:40:00,81,90
19:50:00,172,100
20:00:00,157,96
20:10:00,121,92
20:20:00,88,97
20:30:00,135,95
20:40:00,91,91
20:50:00,134,95
21:00:00,123,88
21:10:00,138,85
21:20:00,164,88
21:30:00,168,86
21:40:00,147,94
21:50:00,126,92
22:00:00,138,90
22:10:00,89,85
22:20:00,170,93
22:30:00,138,97
22:40:00,90,99
22:50:00,81,99
23:00:00,142,91
23:10:00,103,90
23:20:00,129,95
23:30:00,136,90
23:40:00,139,93
23:50:00,133,92
0:00:00,119,98
0:10:00,164,86
0:20:00,88,90
0:30:00,161,99
0:40:00,88,86
0:50:00,133,85
1:00:00,138,96
1:10:00,125,93
1:20:00,152,95
1:30:00,140,94
1:40:00,123,97
1:50:00,125,89
2:00:00,162,94
2:10:00,178,100
2:20:00,102,92
2:30:00,90,87
2:40:00,105,100
2:50:00,176,96
3:00:00,114,99
3:10:00,164,90
3:20:00,111,97
3:30:00,107,95
3:40:00,159,90
3:50:00,115,88
4:00:00,179,92
4:10:00,97,90
4:20:00,88,100
4:30:00,148,86
4:40:00,82,99
4:50:00,129,85
5:00:00,113,95
5:10:00,179,94
5:20:00,150,89
5:30:00,87,97
5:40:00,124,90
5:50:00,171,95
6:00:00,156,86
6:10:00,153,95
6:20:00,156,96
6:30:00,110,87
6:40:00,92,88
6:50:00,127,87
7:00:00,153,94
7:10:00,172,87
7:20:00,115,99
7:30:00,86,93
7:40:00,136,88
7:50:00,144,89
8:00:00,151,86
8:10:00,92,85
8:20:00,123,90
8:30:00,158,99
8:40:00,138,98
8:50:00,120,87
9:00:00,129,100
9:10:00,177,87
9:20:00,150,99
9:30:00,97,99
9:40:00,149,96
9:50:00,133,99
10:00:00,132,86
10:10:00,129,100
10:20:00,179,96
10:30:00,173,88
10:40:00,131,96
10:50:00,176,89
11:00:00,150,95
11:10:00,135,89
11:20:00,164,98
11:30:00,153,87
11:40:00,173,88
11:50:00,94,99
12:00:00,174,85
12:10:00,93,95
12:20:00,161,98
12:30:00,126,97
12:40:00,107,89
12:50:00,125,89
13:00:00,101,98
13:10:00,113,89
13:20:00,106,97
13:30:00,100,100
13:40:00,103,92
13:50:00,104,88
14:00:00,133,95
14:10:00,99,87
14:20:00,126,96
14:30:00,174,95
14:40:00,108,85
14:50:00,115,90
15:00:00,174,98
15:10:00,175,91
15:20:00,145,87
15:30:00,97,100
15:40:00,173,98
15:50:00,134,87
16:00:00,100,86
16:10:00,156,86
16:20:00,160,96
16:30:00,178,92
16:40:00,83,95
16:50:00,142,90
17:00:00,123,95
17:10:00,131,99
17:20:00,90,93
17:30:00,98,86
17:40:00,83,95
17:50:00,109,92
18:00:00,119,97
18:10:00,116,98
18:20:00,92,94
18:30:00,130,97
18:40:00,112,92
18:50:00,121,98
19:00:00,161,96
19:10:00,101,95
19:20:00,161,86
19:30:00,137,94
19:40:00,177,86
19:50:00,141,93
20:00:00,87,88
20:10:00,142,87
20:20:00,167,96
20:30:00,91,96
20:40:00,133,85
20:50:00,126,89
21:00:00,170,98
21:10:00,159,89
21:20:00,160,88
21:30:00,151,94
21:40:00,172,97
21:50:00,154,98
22:00:00,117,97
22:10:00,155,96
22:20:00,122,85
22:30:00,89,88
22:40:00,151,98
22:50:00,142,88
23:00:00,152,96
23:10:00,144,87
23:20:00,162,91
23:30:00,161,93
23:40:00,115,88
23:50:00,110,87
0:00:00,127,96
0:10:00,129,98
0:20:00,133,100
0:30:00,91,97
0:40:00,126,97
0:50:00,138,87
1:00:00,110,95
1:10:00,141,86
1:20:00,131,99
1:30:00,170,85
1:40:00,105,90
1:50:00,137,91
2:00:00,113,99
2:10:00,138,99
2:20:00,107,89
2:30:00,121,86
2:40:00,115,89
2:50:00,130,85
3:00:00,121,89
3:10:00,174,90
3:20:00,171,99
3:30:00,126,96
3:40:00,124,89
3:50:00,108,85
4:00:00,157,90
4:10:00,138,88
4:20:00,114,87
4:30:00,148,98
4:40:00,148,88
4:50:00,128,86
5:00:00,133,87
5:10:00,103,99
5:20:00,92,88
5:30:00,88,90
5:40:00,112,90
5:50:00,173,85
6:00:00,99,100
6:10:00,84,90
6:20:00,171,95
6:30:00,109,86
6:40:00,132,93
6:50:00,118,98
7:00:00,95,89
7:10:00,148,96
7:20:00,80,95
7:30:00,133,89
7:40:00,119,88
7:50:00,84,94
8:00:00,127,89
8:10:00,177,93
8:20:00,109,98
8:30:00,162,94
8:40:00,144,86
8:50:00,148,90
9:00:00,156,89
9:10:00,167,86
9:20:00,143,97
9:30:00,85,97
9:40:00,180,99
9:50:00,162,97
10:00:00,139,95
10:10:00,159,86
10:20:00,84,90
10:30:00,118,91
10:40:00,106,96
10:50:00,121,87
11:00:00,134,98
11:10:00,163,98
11:20:00,101,97
11:30:00,136,90
11:40:00,104,98
11:50:00,166,96
12:00:00,165,88
12:10:00,96,99
12:20:00,144,97
12:30:00,131,86
12:40:00,157,90
12:50:00,157,98
13:00:00,117,95
13:10:00,117,87
13:20:00,178,85
13:30:00,133,88
13:40:00,138,94
13:50:00,146,91
14:00:00,107,98
14:10:00,165,92
14:20:00,145,85
14:30:00,136,91
14:40:00,84,93
14:50:00,177,96
15:00:00,145,100
15:10:00,132,100
15:20:00,133,89
15:30:00,119,90
15:40:00,145,92
15:50:00,104,92
16:00:00,172,94
16:10:00,137,87
16:20:00,103,100
16:30:00,98,98
16:40:00,157,88
16:50:00,148,91
17:00:00,89,88
17:10:00,109,93
17:20:00,100,91
17:30:00,169,94
17:40:00,166,99
17:50:00,135,86
18:00:00,164,94
18:10:00,163,85
18:20:00,86,92
18:30:00,142,96
18:40:00,127,94
18:50:00,116,90
19:00:00,115,89
19:10:00,108,86
19:20:00,145,94
19:30:00,115,99
19:40:00,84,90
19:50:00,171,95
20:00:00,144,85
20:10:00,110,85
20:20:00,125,98
20:30:00,136,91
20:40:00,106,93
20:50:00,113,85
21:00:00,156,94
21:10:00,163,99
21:20:00,112,100
21:30:00,101,87
21:40:00,111,100
21:50:00,129,96
22:00:00,102,89
22:10:00,93,88
22:20:00,113,87
22:30:00,114,86
22:40:00,169,98
22:50:00,92,92
23:00:00,178,96
23:10:00,140,95
23:20:00,102,97
23:30:00,111,86
23:40:00,172,97
23:50:00,104,95
0:00:00,80,93
0:10:00,116,90
0:20:00,104,94
0:30:00,105,89
0:40:00,138,93
0:50:00,137,92
1:00:00,97,92
1:10:00,153,94
1:20:00,139,91
1:30:00,160,88
1:40:00,82,98
1:50:00,109,97
2:00:00,178,97
2:10:00,101,91
2:20:00,109,87
2:30:00,89,86
2:40:00,149,96
2:50:00,160,99
3:00:00,95,87
3:10:00,116,89
3:20:00,176,100
3:30:00,95,94
3:40:00,180,98
3:50:00,81,94
4:00:00,141,86
4:10:00,160,94
4:20:00,93,99
4:30:00,151,86
4:40:00,125,85
4:50:00,140,89
5:00:00,175,90
5:10:00,104,89
5:20:00,101,88
5:30:00,139,89
5:40:00,176,89
5:50:00,153,92
6:00:00,169,88
6:10:00,176,89
6:20:00,179,92
6:30:00,115,86
6:40:00,129,99
6:50:00,121,96
7:00:00,146,97
7:10:00,151,98
7:20:00,124,99
7:30:00,111,92
7:40:00,179,95
7:50:00,137,85
8:00:00,121,99
8:10:00,180,96
8:20:00,118,90
8:30:00,144,85
8:40:00,168,90
8:50:00,115,98
9:00:00,127,90
9:10:00,176,95
9:20:00,94,87
9:30:00,111,98
9:40:00,166,86
9:50:00,180,92
10:00:00,145,86
10:10:00,171,88
10:20:00,105,98
10:30:00,166,94
10:40:00,149,99
10:50:00,106,85
11:00:00,110,85
11:10:00,83,94
11:20:00,101,86
11:30:00,178,92
11:40:00,176,95
11:50:00,145,87
12:00:00,102,97
12:10:00,163,95
12:20:00,84,95
12:30:00,103,99
12:40:00,170,90
12:50:00,147,87
13:00:00,166,92
13:10:00,159,93
13:20:00,96,92
13:30:00,135,88
13:40:00,163,98
13:50:00,148,85
14:00:00,159,93
14:10:00,115,99
14:20:00,121,87
14:30:00,173,100
14:40:00,170,91
14:50:00,170,100
15:00:00,154,94
15:10:00,144,98
15:20:00,86,95
15:30:00,162,87
15:40:00,97,100
15:50:00,170,92
16:00:00,85,93
16:10:00,160,88
16:20:00,136,86
16:30:00,96,98
16:40:00,176,93
16:50:00,129,87
17:00:00,127,100
17:10:00,177,92
17:20:00,159,91
17:30:00,94,96
17:40:00,102,87
17:50:00,114,88
18:00:00,166,99
18:10:00,135,96
18:20:00,136,100
18:30:00,100,89
18:40:00,99,95
18:50:00,127,94
19:00:00,109,94
19:10:00,91,88
19:20:00,165,96
19:30:00,176,99
19:40:00,98,99
19:50:00,153,98
20:00:00,159,89
20:10:00,167,89
20:20:00,113,88
20:30:00,95,94
20:40:00,163,87
20:50:00,134,87
21:00:00,169,89
21:10:00,146,100
21:20:00,84,92
21:30:00,138,93
21:40:00,133,93
21:50:00,168,95
22:00:00,160,90
22:10:00,150,95
22:20:00,178,92
22:30:00,84,88
22:40:00,111,92
22:50:00,101,100
23:00:00,96,86
23:10:00,101,86
23:20:00,85,92
23:30:00,107,98
23:40:00,121,94
23:50:00,102,94
0:00:00,173,88
0:10:00,140,86
0:20:00,110,94
0:30:00,98,90
0:40:00,176,93
0:50:00,133,88
1:00:00,163,97
1:10:00,170,86
1:20:00,179,100
1:30:00,129,95
1:40:00,143,98
1:50:00,93,87
2:00:00,176,85
2:10:00,110,95
2:20:00,100,89
2:30:00,127,93
2:40:00,82,87
2:50:00,98,86
3:00:00,141,93
3:10:00,170,96
3:20:00,168,86
3:30:00,172,98
3:40:00,120,100
3:50:00,121,91
4:00:00,142,86
4:10:00,148,89
4:20:00,120,85
4:30:00,172,89
4:40:00,169,95
4:50:00,128,99
5:00:00,133,89
5:10:00,130,97
5:20:00,141,100
5:30:00,171,98
5:40:00,141,86
5:50:00,102,99
6:00:00,176,86
6:10:00,149,94
6:20:00,180,100
6:30:00,90,89
6:40:00,114,91
6:50:00,93,100
7:00:00,137,91
7:10:00,168,93
7:20:00,123,95
7:30:00,126,95
7:40:00,116,86
7:50:00,163,91
8:00:00,141,99
8:10:00,151,85
8:20:00,145,87
8:30:00,92,85
8:40:00,151,94
8:50:00,178,92
9:00:00,119,87
9:10:00,106,91
9:20:00,117,99
9:30:00,173,94
9:40:00,84,91
9:50:00,116,90
10:00:00,128,85
10:10:00,152,90
10:20:00,116,95
10:30:00,125,96
10:40:00,113,89
10:50:00,154,88
11:00:00,113,86
11:10:00,103,90
11:20:00,144,87
11:30:00,119,93
11:40:00,180,92
11:50:00,133,86
12:00:00,126,87
12:10:00,173,100
12:20:00,85,97
12:30:00,179,86
12:40:00,101,90
12:50:00,167,96
13:00:00,122,92
13:10:00,89,92
13:20:00,104,94
13:30:00,164,90
13:40:00,166,87
13:50:00,147,97
14:00:00,129,95
14:10:00,166,93
14:20:00,114,89
14:30:00,120,100
14:40:00,157,96
14:50:00,94,99
15:00:00,159,95
15:10:00,134,85
15:20:00,90,90
15:30:00,175,88
15:40:00,118,87
15:50:00,169,100
16:00:00,176,87
16:10:00,110,96
16:20:00,102,97
16:30:00,155,97
16:40:00,124,95
16:50:00,106,100
17:00:00,177,97
17:10:00,141,97
17:20:00,119,94
17:30:00,123,85
17:40:00,141,93
17:50:00,87,86
18:00:00,107,88
18:10:00,158,85
18:20:00,94,100
18:30:00,178,97
18:40:00,88,94
18:50:00,152,88
19:00:00,137,99
19:10:00,89,100
19:20:00,92,88
19:30:00,112,99
19:40:00,135,91
19:50:00,150,85
20:00:00,119,86
20:10:00,119,91
20:20:00,95,99
20:30:00,157,86
20:40:00,135,91
20:50:00,84,88
21:00:00,162,93
21:10:00,86,95
21:20:00,133,89
21:30:00,168,86
21:40:00,167,88
21:50:00,148,92
22:00:00,129,99
22:10:00,157,99
22:20:00,90,94
22:30:00,119,92
22:40:00,158,87
22:50:00,171,92
23:00:00,102,86
23:10:00,115,93
23:20:00,175,99
23:30:00,85,92
23:40:00,160,98
23:50:00,137,94
0:00:00,173,85
0:10:00,101,97
0:20:00,138,92
0:30:00,90,98
0:40:00,141,100
0:50:00,144,87
1:00:00,85,96
1:10:00,125,86
1:20:00,92,91
1:30:00,166,96
1:40:00,87,100
1:50:00,97,95
2:00:00,170,95
2:10:00,130,90
2:20:00,145,99
2:30:00,157,95
2:40:00,123,90
2:50:00,117,89
3:00:00,128,89
3:10:00,174,87
3:20:00,99,96
3:30:00,142,88
3:40:00,135,91
3:50:00,88,98
4:00:00,177,96
4:10:00,144,99
4:20:00,162,100
4:30:00,95,98
4:40:00,111,92
4:50:00,104,91
5:00:00,146,92
5:10:00,146,90
5:20:00,119,93
5:30:00,102,85
5:40:00,106,93
5:50:00,119,90
6:00:00,147,97
6:10:00,140,99
6:20:00,101,99
6:30:00,123,100
6:40:00,152,90
6:50:00,145,94
7:00:00,153,98
7:10:00,113,100
7:20:00,178,85
7:30:00,90,95
7:40:00,170,87
7:50:00,130,96
8:00:00,135,88
8:10:00,86,95
8:20:00,113,99
8:30:00,173,89
8:40:00,136,90
8:50:00,163,93
9:00:00,162,96
9:10:00,111,90
9:20:00,95,95
9:30:00,148,95
9:40:00,97,91
9:50:00,112,91
10:00:00,176,88
10:10:00,155,98
10:20:00,91,98
10:30:00,96,85
10:40:00,97,95
10:50:00,146,95
11:00:00,163,86
11:10:00,85,91
11:20:00,84,96
11:30:00,109,91
11:40:00,170,88
11:50:00,127,95
12:00:00,93,93
12:10:00,117,93
12:20:00,107,91
12:30:00,83,86
12:40:00,166,91
12:50:00,95,100
13:00:00,138,85
13:10:00,143,87
13:20:00,143,89
13:30:00,128,98
13:40:00,156,92
13:50:00,178,97
14:00:00,92,85
14:10:00,172,95
14:20:00,106,90
14:30:00,109,95
14:40:00,154,93
14:50:00,114,87
15:00:00,144,93
15:10:00,142,89
15:20:00,104,92
15:30:00,152,99
15:40:00,116,88
15:50:00,170,85
16:00:00,155,100
16:10:00,144,98
16:20:00,102,88
16:30:00,102,89
16:40:00,144,100
16:50:00,110,96
17:00:00,125,95
17:10:00,135,95
17:20:00,91,93
17:30:00,169,96
17:40:00,88,97
17:50:00,171,90
18:00:00,157,98
18:10:00,86,93
18:20:00,81,91
18:30:00,103,97
18:40:00,179,91
18:50:00,99,98
19:00:00,129,91
19:10:00,140,85
19:20:00,102,100
19:30:00,137,91
19:40:00,136,85
19:50:00,134,95
20:00:00,81,88
20:10:00,88,91
20:20:00,92,97
20:30:00,163,96
20:40:00,145,85
20:50:00,134,90
21:00:00,147,99
21:10:00,165,98
21:20:00,151,89
21:30:00,109,95
21:40:00,129,88
21:50:00,136,95
22:00:00,87,95
22:10:00,91,96
